,Topics,Classics,value,Topic Words
109,Re-Readable,The Great Gatsby,0.08391988127789186,"['read', 'one', 'time', 'favorite', 'ever', 'times', 'best', 'still', 'love', 'first', 'years', 'many', 'reading', 'every', 'loved', 'great', 'written', 'amazing', 'definitely', 'good']"
110,Re-Readable,The Catcher in the Rye,-0.8178298672808987,"['read', 'one', 'time', 'favorite', 'ever', 'times', 'best', 'still', 'love', 'first', 'years', 'many', 'reading', 'every', 'loved', 'great', 'written', 'amazing', 'definitely', 'good']"
111,Re-Readable,1984,-0.24403112674912567,"['read', 'one', 'time', 'favorite', 'ever', 'times', 'best', 'still', 'love', 'first', 'years', 'many', 'reading', 'every', 'loved', 'great', 'written', 'amazing', 'definitely', 'good']"
112,Re-Readable,Pride and Prejudice,1.9657597044794732,"['read', 'one', 'time', 'favorite', 'ever', 'times', 'best', 'still', 'love', 'first', 'years', 'many', 'reading', 'every', 'loved', 'great', 'written', 'amazing', 'definitely', 'good']"
113,Re-Readable,Jane Eyre,0.3938964690895252,"['read', 'one', 'time', 'favorite', 'ever', 'times', 'best', 'still', 'love', 'first', 'years', 'many', 'reading', 'every', 'loved', 'great', 'written', 'amazing', 'definitely', 'good']"
114,Re-Readable,Uncle Tom's Cabin,-0.4083618084966455,"['read', 'one', 'time', 'favorite', 'ever', 'times', 'best', 'still', 'love', 'first', 'years', 'many', 'reading', 'every', 'loved', 'great', 'written', 'amazing', 'definitely', 'good']"
115,Re-Readable,The Bluest Eye,-0.8206290662987831,"['read', 'one', 'time', 'favorite', 'ever', 'times', 'best', 'still', 'love', 'first', 'years', 'many', 'reading', 'every', 'loved', 'great', 'written', 'amazing', 'definitely', 'good']"
116,Re-Readable,The Little Prince,0.5983692470155885,"['read', 'one', 'time', 'favorite', 'ever', 'times', 'best', 'still', 'love', 'first', 'years', 'many', 'reading', 'every', 'loved', 'great', 'written', 'amazing', 'definitely', 'good']"
117,Re-Readable,Dracula,-1.415087706719429,"['read', 'one', 'time', 'favorite', 'ever', 'times', 'best', 'still', 'love', 'first', 'years', 'many', 'reading', 'every', 'loved', 'great', 'written', 'amazing', 'definitely', 'good']"
118,Re-Readable,The Handmaid's Tale,-0.5596862910764812,"['read', 'one', 'time', 'favorite', 'ever', 'times', 'best', 'still', 'love', 'first', 'years', 'many', 'reading', 'every', 'loved', 'great', 'written', 'amazing', 'definitely', 'good']"
119,Re-Readable,The Odyssey,-0.985912414879785,"['read', 'one', 'time', 'favorite', 'ever', 'times', 'best', 'still', 'love', 'first', 'years', 'many', 'reading', 'every', 'loved', 'great', 'written', 'amazing', 'definitely', 'good']"
120,Re-Readable,Hamlet,-0.6180347218662207,"['read', 'one', 'time', 'favorite', 'ever', 'times', 'best', 'still', 'love', 'first', 'years', 'many', 'reading', 'every', 'loved', 'great', 'written', 'amazing', 'definitely', 'good']"
121,Re-Readable,Tuesdays with Morrie,0.10857754421408859,"['read', 'one', 'time', 'favorite', 'ever', 'times', 'best', 'still', 'love', 'first', 'years', 'many', 'reading', 'every', 'loved', 'great', 'written', 'amazing', 'definitely', 'good']"
122,Re-Readable,And Then There Were None,1.57960513870307,"['read', 'one', 'time', 'favorite', 'ever', 'times', 'best', 'still', 'love', 'first', 'years', 'many', 'reading', 'every', 'loved', 'great', 'written', 'amazing', 'definitely', 'good']"
123,Re-Readable,War and Peace,-0.41573802026944606,"['read', 'one', 'time', 'favorite', 'ever', 'times', 'best', 'still', 'love', 'first', 'years', 'many', 'reading', 'every', 'loved', 'great', 'written', 'amazing', 'definitely', 'good']"
124,Re-Readable,The Things They Carried,-0.6816785397216347,"['read', 'one', 'time', 'favorite', 'ever', 'times', 'best', 'still', 'love', 'first', 'years', 'many', 'reading', 'every', 'loved', 'great', 'written', 'amazing', 'definitely', 'good']"
125,Re-Readable,Much Ado About Nothing,0.18810678676941023,"['read', 'one', 'time', 'favorite', 'ever', 'times', 'best', 'still', 'love', 'first', 'years', 'many', 'reading', 'every', 'loved', 'great', 'written', 'amazing', 'definitely', 'good']"
126,Thought-Provoking,To Kill a Mockingbird,0.054990555863385,"['life', 'people', 'like', 'think', 'things', 'way', 'feel', 'really', 'many', 'world', 'time', 'would', 'different', 'one', 'person', 'see', 'made', 'also', 'read', 'even']"
127,Thought-Provoking,The Great Gatsby,-0.24937702495934486,"['life', 'people', 'like', 'think', 'things', 'way', 'feel', 'really', 'many', 'world', 'time', 'would', 'different', 'one', 'person', 'see', 'made', 'also', 'read', 'even']"
128,Thought-Provoking,The Catcher in the Rye,0.5987350937691683,"['life', 'people', 'like', 'think', 'things', 'way', 'feel', 'really', 'many', 'world', 'time', 'would', 'different', 'one', 'person', 'see', 'made', 'also', 'read', 'even']"
129,Thought-Provoking,1984,0.061446102253182186,"['life', 'people', 'like', 'think', 'things', 'way', 'feel', 'really', 'many', 'world', 'time', 'would', 'different', 'one', 'person', 'see', 'made', 'also', 'read', 'even']"
130,Thought-Provoking,Pride and Prejudice,-0.6787562229654188,"['life', 'people', 'like', 'think', 'things', 'way', 'feel', 'really', 'many', 'world', 'time', 'would', 'different', 'one', 'person', 'see', 'made', 'also', 'read', 'even']"
131,Thought-Provoking,Jane Eyre,-0.6584838199565947,"['life', 'people', 'like', 'think', 'things', 'way', 'feel', 'really', 'many', 'world', 'time', 'would', 'different', 'one', 'person', 'see', 'made', 'also', 'read', 'even']"
132,Thought-Provoking,Uncle Tom's Cabin,0.0764388267945866,"['life', 'people', 'like', 'think', 'things', 'way', 'feel', 'really', 'many', 'world', 'time', 'would', 'different', 'one', 'person', 'see', 'made', 'also', 'read', 'even']"
133,Thought-Provoking,The Bluest Eye,0.3246333325230639,"['life', 'people', 'like', 'think', 'things', 'way', 'feel', 'really', 'many', 'world', 'time', 'would', 'different', 'one', 'person', 'see', 'made', 'also', 'read', 'even']"
134,Thought-Provoking,The Little Prince,0.7018546373114226,"['life', 'people', 'like', 'think', 'things', 'way', 'feel', 'really', 'many', 'world', 'time', 'would', 'different', 'one', 'person', 'see', 'made', 'also', 'read', 'even']"
135,Thought-Provoking,Dracula,-0.8429005283130357,"['life', 'people', 'like', 'think', 'things', 'way', 'feel', 'really', 'many', 'world', 'time', 'would', 'different', 'one', 'person', 'see', 'made', 'also', 'read', 'even']"
136,Thought-Provoking,The Handmaid's Tale,-0.1355474304533977,"['life', 'people', 'like', 'think', 'things', 'way', 'feel', 'really', 'many', 'world', 'time', 'would', 'different', 'one', 'person', 'see', 'made', 'also', 'read', 'even']"
137,Thought-Provoking,The Odyssey,-0.8245583846478622,"['life', 'people', 'like', 'think', 'things', 'way', 'feel', 'really', 'many', 'world', 'time', 'would', 'different', 'one', 'person', 'see', 'made', 'also', 'read', 'even']"
138,Thought-Provoking,Hamlet,-0.5788698841474094,"['life', 'people', 'like', 'think', 'things', 'way', 'feel', 'really', 'many', 'world', 'time', 'would', 'different', 'one', 'person', 'see', 'made', 'also', 'read', 'even']"
139,Thought-Provoking,Tuesdays with Morrie,3.2642195617244703,"['life', 'people', 'like', 'think', 'things', 'way', 'feel', 'really', 'many', 'world', 'time', 'would', 'different', 'one', 'person', 'see', 'made', 'also', 'read', 'even']"
140,Thought-Provoking,And Then There Were None,-0.8916182287351815,"['life', 'people', 'like', 'think', 'things', 'way', 'feel', 'really', 'many', 'world', 'time', 'would', 'different', 'one', 'person', 'see', 'made', 'also', 'read', 'even']"
141,Thought-Provoking,War and Peace,-0.245428630829631,"['life', 'people', 'like', 'think', 'things', 'way', 'feel', 'really', 'many', 'world', 'time', 'would', 'different', 'one', 'person', 'see', 'made', 'also', 'read', 'even']"
142,Thought-Provoking,The Things They Carried,0.9655315346978866,"['life', 'people', 'like', 'think', 'things', 'way', 'feel', 'really', 'many', 'world', 'time', 'would', 'different', 'one', 'person', 'see', 'made', 'also', 'read', 'even']"
143,Thought-Provoking,Much Ado About Nothing,-0.9423094899292912,"['life', 'people', 'like', 'think', 'things', 'way', 'feel', 'really', 'many', 'world', 'time', 'would', 'different', 'one', 'person', 'see', 'made', 'also', 'read', 'even']"
144,Enjoyable & Interesting,To Kill a Mockingbird,0.06417373278114133,"['really', 'read', 'story', 'enjoyed', 'interesting', 'good', 'liked', 'would', 'thought', 'like', 'bit', 'lot', 'much', 'also', 'found', 'well', 'little', 'didn', 'reading', 'quite']"
145,Enjoyable & Interesting,The Great Gatsby,-0.41294026756706487,"['really', 'read', 'story', 'enjoyed', 'interesting', 'good', 'liked', 'would', 'thought', 'like', 'bit', 'lot', 'much', 'also', 'found', 'well', 'little', 'didn', 'reading', 'quite']"
146,Enjoyable & Interesting,The Catcher in the Rye,-0.27964066202125487,"['really', 'read', 'story', 'enjoyed', 'interesting', 'good', 'liked', 'would', 'thought', 'like', 'bit', 'lot', 'much', 'also', 'found', 'well', 'little', 'didn', 'reading', 'quite']"
147,Enjoyable & Interesting,1984,-0.5003090264576204,"['really', 'read', 'story', 'enjoyed', 'interesting', 'good', 'liked', 'would', 'thought', 'like', 'bit', 'lot', 'much', 'also', 'found', 'well', 'little', 'didn', 'reading', 'quite']"
148,Enjoyable & Interesting,Pride and Prejudice,-0.06899332221900925,"['really', 'read', 'story', 'enjoyed', 'interesting', 'good', 'liked', 'would', 'thought', 'like', 'bit', 'lot', 'much', 'also', 'found', 'well', 'little', 'didn', 'reading', 'quite']"
149,Enjoyable & Interesting,Jane Eyre,0.4752487655237809,"['really', 'read', 'story', 'enjoyed', 'interesting', 'good', 'liked', 'would', 'thought', 'like', 'bit', 'lot', 'much', 'also', 'found', 'well', 'little', 'didn', 'reading', 'quite']"
150,Enjoyable & Interesting,Uncle Tom's Cabin,0.21141318382326493,"['really', 'read', 'story', 'enjoyed', 'interesting', 'good', 'liked', 'would', 'thought', 'like', 'bit', 'lot', 'much', 'also', 'found', 'well', 'little', 'didn', 'reading', 'quite']"
151,Enjoyable & Interesting,The Bluest Eye,-1.1174384986535644,"['really', 'read', 'story', 'enjoyed', 'interesting', 'good', 'liked', 'would', 'thought', 'like', 'bit', 'lot', 'much', 'also', 'found', 'well', 'little', 'didn', 'reading', 'quite']"
152,Enjoyable & Interesting,The Little Prince,-1.019478143383536,"['really', 'read', 'story', 'enjoyed', 'interesting', 'good', 'liked', 'would', 'thought', 'like', 'bit', 'lot', 'much', 'also', 'found', 'well', 'little', 'didn', 'reading', 'quite']"
153,Enjoyable & Interesting,Dracula,2.956184810392014,"['really', 'read', 'story', 'enjoyed', 'interesting', 'good', 'liked', 'would', 'thought', 'like', 'bit', 'lot', 'much', 'also', 'found', 'well', 'little', 'didn', 'reading', 'quite']"
154,Enjoyable & Interesting,The Handmaid's Tale,0.033524336136424936,"['really', 'read', 'story', 'enjoyed', 'interesting', 'good', 'liked', 'would', 'thought', 'like', 'bit', 'lot', 'much', 'also', 'found', 'well', 'little', 'didn', 'reading', 'quite']"
155,Enjoyable & Interesting,The Odyssey,-0.30391264543411783,"['really', 'read', 'story', 'enjoyed', 'interesting', 'good', 'liked', 'would', 'thought', 'like', 'bit', 'lot', 'much', 'also', 'found', 'well', 'little', 'didn', 'reading', 'quite']"
156,Enjoyable & Interesting,Hamlet,-1.1473417915139836,"['really', 'read', 'story', 'enjoyed', 'interesting', 'good', 'liked', 'would', 'thought', 'like', 'bit', 'lot', 'much', 'also', 'found', 'well', 'little', 'didn', 'reading', 'quite']"
157,Enjoyable & Interesting,Tuesdays with Morrie,0.015632000138478076,"['really', 'read', 'story', 'enjoyed', 'interesting', 'good', 'liked', 'would', 'thought', 'like', 'bit', 'lot', 'much', 'also', 'found', 'well', 'little', 'didn', 'reading', 'quite']"
158,Enjoyable & Interesting,And Then There Were None,1.4875640768359881,"['really', 'read', 'story', 'enjoyed', 'interesting', 'good', 'liked', 'would', 'thought', 'like', 'bit', 'lot', 'much', 'also', 'found', 'well', 'little', 'didn', 'reading', 'quite']"
159,Enjoyable & Interesting,War and Peace,-0.5257167464779186,"['really', 'read', 'story', 'enjoyed', 'interesting', 'good', 'liked', 'would', 'thought', 'like', 'bit', 'lot', 'much', 'also', 'found', 'well', 'little', 'didn', 'reading', 'quite']"
160,Enjoyable & Interesting,The Things They Carried,-0.7359944512115462,"['really', 'read', 'story', 'enjoyed', 'interesting', 'good', 'liked', 'would', 'thought', 'like', 'bit', 'lot', 'much', 'also', 'found', 'well', 'little', 'didn', 'reading', 'quite']"
161,Enjoyable & Interesting,Much Ado About Nothing,0.8680246493085192,"['really', 'read', 'story', 'enjoyed', 'interesting', 'good', 'liked', 'would', 'thought', 'like', 'bit', 'lot', 'much', 'also', 'found', 'well', 'little', 'didn', 'reading', 'quite']"
162,Length & Pace,To Kill a Mockingbird,-0.4380935707079443,"['read', 'reading', 'time', 'first', 'pages', 'get', 'long', 'last', 'took', 'got', 'finally', 'years', 'started', 'end', 'one', 'finished', 'would', 'page', 'could', 'finish']"
163,Length & Pace,The Great Gatsby,-0.24080975477527466,"['read', 'reading', 'time', 'first', 'pages', 'get', 'long', 'last', 'took', 'got', 'finally', 'years', 'started', 'end', 'one', 'finished', 'would', 'page', 'could', 'finish']"
164,Length & Pace,The Catcher in the Rye,-0.5212230517526515,"['read', 'reading', 'time', 'first', 'pages', 'get', 'long', 'last', 'took', 'got', 'finally', 'years', 'started', 'end', 'one', 'finished', 'would', 'page', 'could', 'finish']"
165,Length & Pace,1984,0.07934512871657873,"['read', 'reading', 'time', 'first', 'pages', 'get', 'long', 'last', 'took', 'got', 'finally', 'years', 'started', 'end', 'one', 'finished', 'would', 'page', 'could', 'finish']"
166,Length & Pace,Pride and Prejudice,0.8307970729612456,"['read', 'reading', 'time', 'first', 'pages', 'get', 'long', 'last', 'took', 'got', 'finally', 'years', 'started', 'end', 'one', 'finished', 'would', 'page', 'could', 'finish']"
167,Length & Pace,Jane Eyre,0.3086210790937507,"['read', 'reading', 'time', 'first', 'pages', 'get', 'long', 'last', 'took', 'got', 'finally', 'years', 'started', 'end', 'one', 'finished', 'would', 'page', 'could', 'finish']"
168,Length & Pace,Uncle Tom's Cabin,-0.22546343931199567,"['read', 'reading', 'time', 'first', 'pages', 'get', 'long', 'last', 'took', 'got', 'finally', 'years', 'started', 'end', 'one', 'finished', 'would', 'page', 'could', 'finish']"
169,Length & Pace,The Bluest Eye,-0.8809225853741548,"['read', 'reading', 'time', 'first', 'pages', 'get', 'long', 'last', 'took', 'got', 'finally', 'years', 'started', 'end', 'one', 'finished', 'would', 'page', 'could', 'finish']"
170,Length & Pace,The Little Prince,-0.6319338488218467,"['read', 'reading', 'time', 'first', 'pages', 'get', 'long', 'last', 'took', 'got', 'finally', 'years', 'started', 'end', 'one', 'finished', 'would', 'page', 'could', 'finish']"
171,Length & Pace,Dracula,0.6144183655088362,"['read', 'reading', 'time', 'first', 'pages', 'get', 'long', 'last', 'took', 'got', 'finally', 'years', 'started', 'end', 'one', 'finished', 'would', 'page', 'could', 'finish']"
172,Length & Pace,The Handmaid's Tale,0.6891717957962576,"['read', 'reading', 'time', 'first', 'pages', 'get', 'long', 'last', 'took', 'got', 'finally', 'years', 'started', 'end', 'one', 'finished', 'would', 'page', 'could', 'finish']"
173,Length & Pace,The Odyssey,-0.298495025722402,"['read', 'reading', 'time', 'first', 'pages', 'get', 'long', 'last', 'took', 'got', 'finally', 'years', 'started', 'end', 'one', 'finished', 'would', 'page', 'could', 'finish']"
174,Length & Pace,Hamlet,-1.2023974393850116,"['read', 'reading', 'time', 'first', 'pages', 'get', 'long', 'last', 'took', 'got', 'finally', 'years', 'started', 'end', 'one', 'finished', 'would', 'page', 'could', 'finish']"
175,Length & Pace,Tuesdays with Morrie,-0.1901174879188106,"['read', 'reading', 'time', 'first', 'pages', 'get', 'long', 'last', 'took', 'got', 'finally', 'years', 'started', 'end', 'one', 'finished', 'would', 'page', 'could', 'finish']"
176,Length & Pace,And Then There Were None,1.8201027975110904,"['read', 'reading', 'time', 'first', 'pages', 'get', 'long', 'last', 'took', 'got', 'finally', 'years', 'started', 'end', 'one', 'finished', 'would', 'page', 'could', 'finish']"
177,Length & Pace,War and Peace,2.4717560600096884,"['read', 'reading', 'time', 'first', 'pages', 'get', 'long', 'last', 'took', 'got', 'finally', 'years', 'started', 'end', 'one', 'finished', 'would', 'page', 'could', 'finish']"
178,Length & Pace,The Things They Carried,-0.7547073359441092,"['read', 'reading', 'time', 'first', 'pages', 'get', 'long', 'last', 'took', 'got', 'finally', 'years', 'started', 'end', 'one', 'finished', 'would', 'page', 'could', 'finish']"
179,Length & Pace,Much Ado About Nothing,-1.4300487598832523,"['read', 'reading', 'time', 'first', 'pages', 'get', 'long', 'last', 'took', 'got', 'finally', 'years', 'started', 'end', 'one', 'finished', 'would', 'page', 'could', 'finish']"
180,Beautiful Writing,To Kill a Mockingbird,-0.455292820806796,"['story', 'read', 'writing', 'written', 'novel', 'beautiful', 'one', 'tale', 'characters', 'short', 'well', 'yet', 'way', 'human', 'reader', 'truly', 'prose', 'mind', 'powerful', 'beautifully']"
181,Beautiful Writing,The Great Gatsby,0.21283789083349103,"['story', 'read', 'writing', 'written', 'novel', 'beautiful', 'one', 'tale', 'characters', 'short', 'well', 'yet', 'way', 'human', 'reader', 'truly', 'prose', 'mind', 'powerful', 'beautifully']"
182,Beautiful Writing,The Catcher in the Rye,-0.8920845988960739,"['story', 'read', 'writing', 'written', 'novel', 'beautiful', 'one', 'tale', 'characters', 'short', 'well', 'yet', 'way', 'human', 'reader', 'truly', 'prose', 'mind', 'powerful', 'beautifully']"
183,Beautiful Writing,1984,0.2570573186395562,"['story', 'read', 'writing', 'written', 'novel', 'beautiful', 'one', 'tale', 'characters', 'short', 'well', 'yet', 'way', 'human', 'reader', 'truly', 'prose', 'mind', 'powerful', 'beautifully']"
184,Beautiful Writing,Pride and Prejudice,-0.7287977304467994,"['story', 'read', 'writing', 'written', 'novel', 'beautiful', 'one', 'tale', 'characters', 'short', 'well', 'yet', 'way', 'human', 'reader', 'truly', 'prose', 'mind', 'powerful', 'beautifully']"
185,Beautiful Writing,Jane Eyre,-0.3239153732037621,"['story', 'read', 'writing', 'written', 'novel', 'beautiful', 'one', 'tale', 'characters', 'short', 'well', 'yet', 'way', 'human', 'reader', 'truly', 'prose', 'mind', 'powerful', 'beautifully']"
186,Beautiful Writing,Uncle Tom's Cabin,0.04580308122902972,"['story', 'read', 'writing', 'written', 'novel', 'beautiful', 'one', 'tale', 'characters', 'short', 'well', 'yet', 'way', 'human', 'reader', 'truly', 'prose', 'mind', 'powerful', 'beautifully']"
187,Beautiful Writing,The Bluest Eye,2.036540092000327,"['story', 'read', 'writing', 'written', 'novel', 'beautiful', 'one', 'tale', 'characters', 'short', 'well', 'yet', 'way', 'human', 'reader', 'truly', 'prose', 'mind', 'powerful', 'beautifully']"
188,Beautiful Writing,The Little Prince,-0.2325769710802091,"['story', 'read', 'writing', 'written', 'novel', 'beautiful', 'one', 'tale', 'characters', 'short', 'well', 'yet', 'way', 'human', 'reader', 'truly', 'prose', 'mind', 'powerful', 'beautifully']"
189,Beautiful Writing,Dracula,0.4188423164985109,"['story', 'read', 'writing', 'written', 'novel', 'beautiful', 'one', 'tale', 'characters', 'short', 'well', 'yet', 'way', 'human', 'reader', 'truly', 'prose', 'mind', 'powerful', 'beautifully']"
190,Beautiful Writing,The Handmaid's Tale,1.0097618606126482,"['story', 'read', 'writing', 'written', 'novel', 'beautiful', 'one', 'tale', 'characters', 'short', 'well', 'yet', 'way', 'human', 'reader', 'truly', 'prose', 'mind', 'powerful', 'beautifully']"
191,Beautiful Writing,The Odyssey,-0.8102570745124877,"['story', 'read', 'writing', 'written', 'novel', 'beautiful', 'one', 'tale', 'characters', 'short', 'well', 'yet', 'way', 'human', 'reader', 'truly', 'prose', 'mind', 'powerful', 'beautifully']"
192,Beautiful Writing,Hamlet,-0.8017273669597988,"['story', 'read', 'writing', 'written', 'novel', 'beautiful', 'one', 'tale', 'characters', 'short', 'well', 'yet', 'way', 'human', 'reader', 'truly', 'prose', 'mind', 'powerful', 'beautifully']"
193,Beautiful Writing,Tuesdays with Morrie,-0.6047066166431189,"['story', 'read', 'writing', 'written', 'novel', 'beautiful', 'one', 'tale', 'characters', 'short', 'well', 'yet', 'way', 'human', 'reader', 'truly', 'prose', 'mind', 'powerful', 'beautifully']"
194,Beautiful Writing,And Then There Were None,0.3695818029064597,"['story', 'read', 'writing', 'written', 'novel', 'beautiful', 'one', 'tale', 'characters', 'short', 'well', 'yet', 'way', 'human', 'reader', 'truly', 'prose', 'mind', 'powerful', 'beautifully']"
195,Beautiful Writing,War and Peace,-0.6788058177880221,"['story', 'read', 'writing', 'written', 'novel', 'beautiful', 'one', 'tale', 'characters', 'short', 'well', 'yet', 'way', 'human', 'reader', 'truly', 'prose', 'mind', 'powerful', 'beautifully']"
196,Beautiful Writing,The Things They Carried,2.445595234515394,"['story', 'read', 'writing', 'written', 'novel', 'beautiful', 'one', 'tale', 'characters', 'short', 'well', 'yet', 'way', 'human', 'reader', 'truly', 'prose', 'mind', 'powerful', 'beautifully']"
197,Beautiful Writing,Much Ado About Nothing,-1.267855226898344,"['story', 'read', 'writing', 'written', 'novel', 'beautiful', 'one', 'tale', 'characters', 'short', 'well', 'yet', 'way', 'human', 'reader', 'truly', 'prose', 'mind', 'powerful', 'beautifully']"
198,Unlikeable Characters,To Kill a Mockingbird,-0.843309339465555,"['like', 'characters', 'character', 'didn', 'much', 'really', 'would', 'even', 'felt', 'could', 'found', 'writing', 'plot', 'one', 'good', 'boring', 'feel', 'get', 'main', 'nothing']"
199,Unlikeable Characters,The Great Gatsby,1.4987937524605814,"['like', 'characters', 'character', 'didn', 'much', 'really', 'would', 'even', 'felt', 'could', 'found', 'writing', 'plot', 'one', 'good', 'boring', 'feel', 'get', 'main', 'nothing']"
200,Unlikeable Characters,The Catcher in the Rye,2.5901374667177715,"['like', 'characters', 'character', 'didn', 'much', 'really', 'would', 'even', 'felt', 'could', 'found', 'writing', 'plot', 'one', 'good', 'boring', 'feel', 'get', 'main', 'nothing']"
201,Unlikeable Characters,1984,-0.012162101679724077,"['like', 'characters', 'character', 'didn', 'much', 'really', 'would', 'even', 'felt', 'could', 'found', 'writing', 'plot', 'one', 'good', 'boring', 'feel', 'get', 'main', 'nothing']"
202,Unlikeable Characters,Pride and Prejudice,0.47658933615546034,"['like', 'characters', 'character', 'didn', 'much', 'really', 'would', 'even', 'felt', 'could', 'found', 'writing', 'plot', 'one', 'good', 'boring', 'feel', 'get', 'main', 'nothing']"
203,Unlikeable Characters,Jane Eyre,0.5159613239654818,"['like', 'characters', 'character', 'didn', 'much', 'really', 'would', 'even', 'felt', 'could', 'found', 'writing', 'plot', 'one', 'good', 'boring', 'feel', 'get', 'main', 'nothing']"
204,Unlikeable Characters,Uncle Tom's Cabin,0.012532875457337382,"['like', 'characters', 'character', 'didn', 'much', 'really', 'would', 'even', 'felt', 'could', 'found', 'writing', 'plot', 'one', 'good', 'boring', 'feel', 'get', 'main', 'nothing']"
205,Unlikeable Characters,The Bluest Eye,-0.18384895391626427,"['like', 'characters', 'character', 'didn', 'much', 'really', 'would', 'even', 'felt', 'could', 'found', 'writing', 'plot', 'one', 'good', 'boring', 'feel', 'get', 'main', 'nothing']"
206,Unlikeable Characters,The Little Prince,-1.1822839456605123,"['like', 'characters', 'character', 'didn', 'much', 'really', 'would', 'even', 'felt', 'could', 'found', 'writing', 'plot', 'one', 'good', 'boring', 'feel', 'get', 'main', 'nothing']"
207,Unlikeable Characters,Dracula,0.20756312842005112,"['like', 'characters', 'character', 'didn', 'much', 'really', 'would', 'even', 'felt', 'could', 'found', 'writing', 'plot', 'one', 'good', 'boring', 'feel', 'get', 'main', 'nothing']"
208,Unlikeable Characters,The Handmaid's Tale,0.10089489807530728,"['like', 'characters', 'character', 'didn', 'much', 'really', 'would', 'even', 'felt', 'could', 'found', 'writing', 'plot', 'one', 'good', 'boring', 'feel', 'get', 'main', 'nothing']"
209,Unlikeable Characters,The Odyssey,-1.321132828076306,"['like', 'characters', 'character', 'didn', 'much', 'really', 'would', 'even', 'felt', 'could', 'found', 'writing', 'plot', 'one', 'good', 'boring', 'feel', 'get', 'main', 'nothing']"
210,Unlikeable Characters,Hamlet,-1.0093522803216604,"['like', 'characters', 'character', 'didn', 'much', 'really', 'would', 'even', 'felt', 'could', 'found', 'writing', 'plot', 'one', 'good', 'boring', 'feel', 'get', 'main', 'nothing']"
211,Unlikeable Characters,Tuesdays with Morrie,-0.6986799404459071,"['like', 'characters', 'character', 'didn', 'much', 'really', 'would', 'even', 'felt', 'could', 'found', 'writing', 'plot', 'one', 'good', 'boring', 'feel', 'get', 'main', 'nothing']"
212,Unlikeable Characters,And Then There Were None,-0.7181864254067174,"['like', 'characters', 'character', 'didn', 'much', 'really', 'would', 'even', 'felt', 'could', 'found', 'writing', 'plot', 'one', 'good', 'boring', 'feel', 'get', 'main', 'nothing']"
213,Unlikeable Characters,War and Peace,0.5378048606884711,"['like', 'characters', 'character', 'didn', 'much', 'really', 'would', 'even', 'felt', 'could', 'found', 'writing', 'plot', 'one', 'good', 'boring', 'feel', 'get', 'main', 'nothing']"
214,Unlikeable Characters,The Things They Carried,-0.7910624948191721,"['like', 'characters', 'character', 'didn', 'much', 'really', 'would', 'even', 'felt', 'could', 'found', 'writing', 'plot', 'one', 'good', 'boring', 'feel', 'get', 'main', 'nothing']"
215,Unlikeable Characters,Much Ado About Nothing,0.819740667851369,"['like', 'characters', 'character', 'didn', 'much', 'really', 'would', 'even', 'felt', 'could', 'found', 'writing', 'plot', 'one', 'good', 'boring', 'feel', 'get', 'main', 'nothing']"
216,Plot & Characters,To Kill a Mockingbird,-0.32395233039080534,"['characters', 'story', 'character', 'novel', 'plot', 'reader', 'first', 'main', 'interesting', 'two', 'end', 'well', 'one', 'also', 'part', 'many', 'however', 'different', 'events', 'writing']"
217,Plot & Characters,The Great Gatsby,0.026744879395908933,"['characters', 'story', 'character', 'novel', 'plot', 'reader', 'first', 'main', 'interesting', 'two', 'end', 'well', 'one', 'also', 'part', 'many', 'however', 'different', 'events', 'writing']"
218,Plot & Characters,The Catcher in the Rye,-0.5734838175890138,"['characters', 'story', 'character', 'novel', 'plot', 'reader', 'first', 'main', 'interesting', 'two', 'end', 'well', 'one', 'also', 'part', 'many', 'however', 'different', 'events', 'writing']"
219,Plot & Characters,1984,-0.24445001529341892,"['characters', 'story', 'character', 'novel', 'plot', 'reader', 'first', 'main', 'interesting', 'two', 'end', 'well', 'one', 'also', 'part', 'many', 'however', 'different', 'events', 'writing']"
220,Plot & Characters,Pride and Prejudice,0.0235786479364824,"['characters', 'story', 'character', 'novel', 'plot', 'reader', 'first', 'main', 'interesting', 'two', 'end', 'well', 'one', 'also', 'part', 'many', 'however', 'different', 'events', 'writing']"
221,Plot & Characters,Jane Eyre,0.006871974324853935,"['characters', 'story', 'character', 'novel', 'plot', 'reader', 'first', 'main', 'interesting', 'two', 'end', 'well', 'one', 'also', 'part', 'many', 'however', 'different', 'events', 'writing']"
222,Plot & Characters,Uncle Tom's Cabin,-0.5501317235938847,"['characters', 'story', 'character', 'novel', 'plot', 'reader', 'first', 'main', 'interesting', 'two', 'end', 'well', 'one', 'also', 'part', 'many', 'however', 'different', 'events', 'writing']"
223,Plot & Characters,The Bluest Eye,0.05162528908060594,"['characters', 'story', 'character', 'novel', 'plot', 'reader', 'first', 'main', 'interesting', 'two', 'end', 'well', 'one', 'also', 'part', 'many', 'however', 'different', 'events', 'writing']"
224,Plot & Characters,The Little Prince,-1.5515386280315977,"['characters', 'story', 'character', 'novel', 'plot', 'reader', 'first', 'main', 'interesting', 'two', 'end', 'well', 'one', 'also', 'part', 'many', 'however', 'different', 'events', 'writing']"
