,Topics,Classics,value,Topic Words
24,Talking & Speaking,Uncle Tom's Cabin,-0.4335601206132439,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
25,Talking & Speaking,The Bluest Eye,-0.43576727021297257,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
26,Talking & Speaking,The Little Prince,1.961330643584813,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
27,Talking & Speaking,Dracula,-1.1304611867134973,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
28,Talking & Speaking,The Handmaid's Tale,-0.40768126585619846,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
29,Talking & Speaking,The Odyssey,-1.2140732451872411,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
30,Talking & Speaking,Hamlet,-0.021430993796701256,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
31,Talking & Speaking,Tuesdays with Morrie,2.607252456607453,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
32,Talking & Speaking,And Then There Were None,-0.32234635012478396,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
33,Talking & Speaking,War and Peace,-0.6190563358207914,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
34,Talking & Speaking,The Things They Carried,-0.13293334100322993,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
35,Talking & Speaking,Much Ado About Nothing,-0.8587972587571452,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
36,Gushing & Loving Language,To Kill a Mockingbird,-0.06917463817091729,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
37,Gushing & Loving Language,The Great Gatsby,0.2823352009985108,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
38,Gushing & Loving Language,The Catcher in the Rye,-0.4541456363735352,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
39,Gushing & Loving Language,1984,-0.8642696607648771,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
40,Gushing & Loving Language,Pride and Prejudice,2.1005900907482093,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
41,Gushing & Loving Language,Jane Eyre,2.018138148384726,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
42,Gushing & Loving Language,Uncle Tom's Cabin,-0.2673649749731714,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
43,Gushing & Loving Language,The Bluest Eye,0.03211019987571024,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
44,Gushing & Loving Language,The Little Prince,0.22275856629411234,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
45,Gushing & Loving Language,Dracula,-0.7995838255806474,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
46,Gushing & Loving Language,The Handmaid's Tale,-1.0493307061630992,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
47,Gushing & Loving Language,The Odyssey,-0.7771893122474173,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
48,Gushing & Loving Language,Hamlet,-0.5498047687583925,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
49,Gushing & Loving Language,Tuesdays with Morrie,0.3360264918863239,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
50,Gushing & Loving Language,And Then There Were None,-0.9003458932802874,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
51,Gushing & Loving Language,War and Peace,-0.5305801755654743,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
52,Gushing & Loving Language,The Things They Carried,-0.5262843143010574,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
53,Gushing & Loving Language,Much Ado About Nothing,1.7961152079912845,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
54,Description & Dialogue (Quotations),To Kill a Mockingbird,-0.09564331295520387,"['one', 'would', 'like', 'said', 'little', 'could', 'time', 'back', 'day', 'went', 'got', 'around', 'night', 'right', 'old', 'get', 'going', 'two', 'home', 'know']"
55,Description & Dialogue (Quotations),The Great Gatsby,0.09275714138368397,"['one', 'would', 'like', 'said', 'little', 'could', 'time', 'back', 'day', 'went', 'got', 'around', 'night', 'right', 'old', 'get', 'going', 'two', 'home', 'know']"
56,Description & Dialogue (Quotations),The Catcher in the Rye,0.8872050527352631,"['one', 'would', 'like', 'said', 'little', 'could', 'time', 'back', 'day', 'went', 'got', 'around', 'night', 'right', 'old', 'get', 'going', 'two', 'home', 'know']"
57,Description & Dialogue (Quotations),1984,-0.15902595938156047,"['one', 'would', 'like', 'said', 'little', 'could', 'time', 'back', 'day', 'went', 'got', 'around', 'night', 'right', 'old', 'get', 'going', 'two', 'home', 'know']"
58,Description & Dialogue (Quotations),Pride and Prejudice,-0.8873677742598567,"['one', 'would', 'like', 'said', 'little', 'could', 'time', 'back', 'day', 'went', 'got', 'around', 'night', 'right', 'old', 'get', 'going', 'two', 'home', 'know']"
59,Description & Dialogue (Quotations),Jane Eyre,-0.5245071792626429,"['one', 'would', 'like', 'said', 'little', 'could', 'time', 'back', 'day', 'went', 'got', 'around', 'night', 'right', 'old', 'get', 'going', 'two', 'home', 'know']"
60,Description & Dialogue (Quotations),Uncle Tom's Cabin,-1.2906867585030546,"['one', 'would', 'like', 'said', 'little', 'could', 'time', 'back', 'day', 'went', 'got', 'around', 'night', 'right', 'old', 'get', 'going', 'two', 'home', 'know']"
61,Description & Dialogue (Quotations),The Bluest Eye,-0.7737187028000391,"['one', 'would', 'like', 'said', 'little', 'could', 'time', 'back', 'day', 'went', 'got', 'around', 'night', 'right', 'old', 'get', 'going', 'two', 'home', 'know']"
62,Description & Dialogue (Quotations),The Little Prince,0.22789916114356018,"['one', 'would', 'like', 'said', 'little', 'could', 'time', 'back', 'day', 'went', 'got', 'around', 'night', 'right', 'old', 'get', 'going', 'two', 'home', 'know']"
63,Description & Dialogue (Quotations),Dracula,-0.19453738326673337,"['one', 'would', 'like', 'said', 'little', 'could', 'time', 'back', 'day', 'went', 'got', 'around', 'night', 'right', 'old', 'get', 'going', 'two', 'home', 'know']"
64,Description & Dialogue (Quotations),The Handmaid's Tale,-0.3469696454879882,"['one', 'would', 'like', 'said', 'little', 'could', 'time', 'back', 'day', 'went', 'got', 'around', 'night', 'right', 'old', 'get', 'going', 'two', 'home', 'know']"
65,Description & Dialogue (Quotations),The Odyssey,-0.39887444560698593,"['one', 'would', 'like', 'said', 'little', 'could', 'time', 'back', 'day', 'went', 'got', 'around', 'night', 'right', 'old', 'get', 'going', 'two', 'home', 'know']"
66,Description & Dialogue (Quotations),Hamlet,0.7332080750647076,"['one', 'would', 'like', 'said', 'little', 'could', 'time', 'back', 'day', 'went', 'got', 'around', 'night', 'right', 'old', 'get', 'going', 'two', 'home', 'know']"
67,Description & Dialogue (Quotations),Tuesdays with Morrie,0.5065997673185029,"['one', 'would', 'like', 'said', 'little', 'could', 'time', 'back', 'day', 'went', 'got', 'around', 'night', 'right', 'old', 'get', 'going', 'two', 'home', 'know']"
